06/01/2015 15:17,"Binfield Road, Stockwell",>,"Courland Grove, Wandsworth Road"
08/01/2015 16:49,"Courland Grove, Wandsworth Road",>,"Bradmead, Nine Elms"
10/01/2015 06:55,"Bradmead, Nine Elms",>,"Surrey Lane, Battersea"
10/01/2015 21:55,"Surrey Lane, Battersea",>,"Westbridge Road, Battersea"
14/01/2015 18:25,"Brushfield Street, Liverpool Street",>,"Waterloo Station 1, Waterloo"
14/01/2015 21:49,"Sardinia Street, Holborn",>,"Graham Street, Angel"
14/01/2015 22:16,"Graham Street, Angel",>,"Graham Street, Angel"
15/01/2015 08:14,"Graham Street, Angel",>,"Eagle Wharf Road, Hoxton"
15/01/2015 08:29,"Eagle Wharf Road, Hoxton",>,"Guilford Street , Bloomsbury"
16/01/2015 11:00,"Guilford Street , Bloomsbury",>,"Greenland Road, Camden Town"
16/01/2015 13:24,"Greenland Road, Camden Town",>,"Bolsover Street, Fitzrovia"
17/01/2015 07:50,"Bolsover Street, Fitzrovia",>,"Waterloo Roundabout, Waterloo "
17/01/2015 08:14,"Waterloo Roundabout, Waterloo ",>,"Warren Street Station, Euston"
17/01/2015 11:30,"Warren Street Station, Euston",>,"Gloucester Avenue, Camden Town"
17/01/2015 12:02,"Gloucester Avenue, Camden Town",>,"Drury Lane, Covent Garden"
17/01/2015 14:15,"Drury Lane, Covent Garden",>,"Regency Street, Westminster"
19/01/2015 18:05,"Regency Street, Westminster",>,"Vauxhall Cross, Vauxhall"
19/01/2015 21:10,"Vauxhall Cross, Vauxhall",>,"Chelsea Bridge, Pimlico"
20/01/2015 07:29,"Chelsea Bridge, Pimlico",>,"Whitehall Place, Strand"
20/01/2015 08:10,"Whitehall Place, Strand",>,"Horseferry Road, Westminster"
20/01/2015 11:42,"Rampayne Street, Pimlico",>,"Green Park Station, West End"
20/01/2015 18:36,"Farm Street, Mayfair",>,"South Audley Street, Mayfair"
20/01/2015 19:53,"South Audley Street, Mayfair",>,"Golden Square, Soho"
21/01/2015 13:32,"Golden Square, Soho",>,"Moor Street, Soho"
